Project_Number,Project_Title,Project_Description,OIA_AREA,Round,Approval_Date,Program,Lead_Research_Institution,City,Ontario_Commitment,Total_Project_Costs,Keyword,EXPENDITURE_TYPE,First_Name,Last_Name
26332,Macromolecular crystallization and X-ray diffraction facility,"This research aims to decipher the molecular mechanisms underlying DNA replication, repair and antibiotic resistance. Determining the molecular structure of proteins that govern these critical biological processes directly impacts ensuing research in the areas of cancer biology and infectious disease.",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,McMaster University,Hamilton,"$800,000","$2,000,000",,Capital,Alba,Guarn�
26407,Development of animal models for influenza virus transmission and pathophysiology,"Dr. Mubareka’s research will focus on influenza virus transmission and pathophysiology, with a focus on viral-bacterial co-pathogenesis, as well as the use of novel therapeutic approaches for influenza virus-induced acute lung injury and serve as the basis for future clinical trial",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,Sunnybrook Research Institute,Toronto,"$102,920","$259,218",,Capital,Samira,Mubareka
26422,Transcriptional and post-transcriptional regulation of endothelial specification and vascular development,"New UHN recruit Dr. Jason Fish will elucidate the molecular mechanisms controlling blood vessel growth using a zebrafish model system, thereby providing insight for the design of novel therapeutics to treat diseases of vital significance to Ontarians, including cancer and cardiovascular disease.",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University Health Network,Toronto,"$171,825","$429,560",,Capital,Jason,Fish
26447,"Socio-economic Status, Social Networks, and Cardiovascular Disease","To address gaps in our knowledge about how low socioeconomic status (SES) increases one’s chances of cardiovascular disease (CVD), the proposed research will examine the relative importance of behavioural (e.g.,  physical activity) and biological pathways (e.g., sleep and stress) in linking SES to CV",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$43,828","$109,570",,Capital,Douglas,Moore
26453,Bio-Mechatronics and Robotics Laboratory,The proposed Bio-Mechatronics and Robotics Laboratory (BMRL) will support research that will develop energy efficient wearable robotic technologies for mobility assistance applications which will directly benefit the mobility-restricted population.,Development and creation of investigation spots,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$150,000","$375,000",,Capital,Qingguo,Li
26472,Laboratory for integrated study of the mechanisms of breast cancer invasion and metastasis,"This project investigates how specific molecules drive breast cancer metastasis by directly enabling the tumor cells to disseminate to distant sites, and simultaneously promoting the formation of new tumor blood vessels, thus enhancing dissemination. It also tests the therapeutic potential of such molecules.",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Guelph,Guelph,"$121,232","$312,723",,Capital,Alicia,Viloria-Petit
26477,Molecular Manipulation and Imaging Facility for the Study of mRNA.,"Gene expression involves the transfer of information from DNA to RNA to protein within the body’s cells. However, the transport and distribution of RNA throughout its lifetime remains mysterious. To better understand gene expression, the molecular mechanisms that determine RNA localization will be studied within live cell",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$153,861","$398,630",,Capital,Alexander,Palazzo
26492,Remote Sensing and Spatial Ecosystem Modelling Laboratory,"The infrastructure will create the Remote Sensing and Spatial Ecosystem Modelling Laboratory. Such a laboratory is essential to conduct novel research that will advance our understanding of how human activities and increased environmental change influences Canadian grasslands that are critically important to species preservation, environmental legacy, and economics.",Bio-economy and clean technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$116,010","$402,923",,Capital,Yuhong,He
26497,Nerve Research Centre at the Hospital for Sick Children in Toronto,"This award will provide Dr. Borschel, a new recruit to Ontario, infrastructure to establish a program in nerve regeneration, imaging and quantification at SickKids. His research is unique in Ontario and has important scientific and clinical implications that will lead to marketable therapeutics impacting Ontario industry.",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,The Hospital for Sick Children,Toronto,"$213,368","$649,322",,Capital,Gregory,Borschel
26537,Animal Models of Neurological and Psychiatric Disease.,Neurological and psychiatric diseases such as Parkinson’s disease and schizophrenia have a major impact on society. The funds provided by the Ontario Research Fund will be used by the investigators for the generation and characterization of genetic mouse models of these diseases. Increased knowledge of these diseases obtained through these studies should help identify better therapeutical approaches for their treatments in the futur,Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$199,903","$515,147",,Capital,Ali,Salahpour
26538,"Advanced Power Electronics and Smart Power IC Research Laboratory for Automotive, Industrial, Aerospace and Photovoltaic Energy Applications","Infrastructure is requested to launch a laboratory for advanced research in high-efficiency power conversion electronics for automotive, industrial, aerospace an photovoltaic (solar) applications in the range of 5W to 5kW. A unique reconfigurable solar installation, as well as specialized electronic test equipment are requested.",Development and creation of investigation spots,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$100,000","$254,581",,Capital,Olivier,Trescases
26542,Discovering how action drives perception and cognition,How does the body influence the perception and cognition? Dr. Liana Brown’s goal is to develop an influential new cognitive neuroscience laboratory at Trent University that she will use to study how limb posture and capacity for action influence how we take in and deal with sensory information from multiple source,Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,Trent University,Peterborough,"$79,719","$199,297",,Capital,Liana,Brown
26547,Infrastructure to study synaptic plasticity and behavior in Drosophila,"This award enables Dr. G.Boulianne to expand her research into the genetic and molecular mechanisms underlying aging and neurodegenerative diseases including Alzheimer’s Disease (AD), contributing to improvements in health care, quality of life and marketable therapeutic technologies for Ontario",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,The Hospital for Sick Children,Toronto,"$268,605","$671,514",,Capital,Gabrielle,Boulianne
26562,Motion platform for the study of postural control related to the problem of falls and mobility,"This proposal will address the immense problem of falling and impaired mobility in older adults. The lab will identify key factors associated with falls, in order to develop clinical tests for evaluating fall risk and to develop effective fall prevention programs to prolong mobility and independence.",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Guelph,Guelph,"$125,000","$314,413",,Capital,John,Zettel
26572,Biomolecule-based design of imaging and therapeutic agents,"Oligonucleotides represent a key family of biopolymers that offer great potential for developing novel targeted therapeutic agents in treating cancer, inflammatory and genetic disorders. The aim is to design biomolecules able to specifically target and modulate cellular functions associated with diseased cells.",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,Sunnybrook Research Institute,Toronto,"$399,029","$997,573",,Capital,Jean,Gariepy
26587,People in Motion: Historical Data Infrastructure for Longitudinal Research,"This project will prepare a database of longitudinal records from historical census and military data for life-course and multi-generational research into labour market adjustment, migration, cultural change, intergenerational persistence and the early life origins of adult health.",Technological development for social purposes,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Guelph,Guelph,"$374,821","$937,056",,Capital,Kris,Inwood
26653,Controlling the fibrogenic activity of myofibroblasts as a crucial step in successful tissue repair and regeneration,"The aim of this proposal is to build a unique interdisciplinary research facility, focused on the molecular, mechanical and cellular mechanisms that control myofibroblast behaviour. Myofibroblasts are key cells in physiological tissue repair and regeneration and generate fibrotic contractures when dysregulated.",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$125,548","$313,870",,Capital,Boris,Hinz
26693,The MicroTile Interactivity Project,"The proposed project will add interactivity to a newly-released Ontario digital display technology, MicroTiles, to study how multimedia designers can create new, compelling visual experiences for people in ways that entertain, inform, and promote across a wide variety of public and private sector venues.",Digital media and information and communications technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Waterloo,Waterloo,"$40,000","$100,975",,Capital,Jill,Goodwin
26708,"The Supreme Court of Canada Database, 1875-2010",The objective of this proposal is to create a public research database covering the Supreme Court of Canada and its decisions from its inception in 1875 to the present.  The database will allow rigorous empirical analysis of the work of the Court and its role in Canadian society.,Technological development for social purposes,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$27,374","$68,434",,Capital,Benjamin,Alarie
26713,Climate impacts on greenhouse gas emissions in forested landscape of southern Ontario,This research focuses on evaluating the ability of both deciduous (80-year old Oak) and conifer (70- and 35-year old White Pine) afforested or planted forests to sequester atmospheric carbon dioxide and determine forests’ responses to future climate change by measuring greenhouse gas exchange,Bio-economy and clean technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,McMaster University,Hamilton,"$155,147","$387,870",,Capital,Altaf,Arain
26743,Analytical instrumentation for chemical and metabolite diversity: Ultra HPLC-Q-TOF-MS,This newly developed analytical instrumentation will allow us to identify and measure a wide diversity of natural and synthetic compounds for the first time. This provides a breakthrough in our core research activities of identifying new drug compounds in complex natural products and emerging toxins in the environment.,Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$211,325","$551,023",,Capital,John,Arnason
26768,Laboratory for Phototherapeutics in Oral Diseases (L-POD),Disinfection and regeneration of infected tissues are two major challenges in healthcare. This issue becomes more demanding in dental pulp tissue since they do not have any collateral circulation and is surrounded by a non-compliant hard tissue. The proposed study aims to combine the ability of pro-angiogenic photodynamic-therapy with a photochemically-bonded chitosan-based drug-delivering scaffold to enhance healing of inflamed pulp tissue. The proposed infrastructure will be used to setup a laboratory for phototherapeutics in oral diseases (LPOD) with facilities for photobiological and applied microbiology/cell-culture facilities.,Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$114,245","$313,262",,Capital,Anil,Kishen
26803,Flow cytometer suite for biomaterials and bioengineering research,"By facilitating a better understanding of the response of biological systems to ophthalmic and cardiovascular materials, this project will enable the design of biocompatible materials. Through careful characterization of the mechanisms of cellular activation, a template to develop innovative strategies to improve material biocompatibility will be created.",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Waterloo,Waterloo,"$60,000","$177,469",,Capital,Maud,Gorbet
26814,Fluorescence spectroscopy tools for nanocatalysis studies,This project aims at the understanding of catalysis processes at the molecular level through the use of advanced microscopy tools that will allow the observation of single molecules as they arrive at the catalyst site and depart following their transformation.,Chemical and biological experimentation for the future,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$361,173","$914,361",,Capital,Juan,Scaiano
26818,GPS-based spacecraft formation flying testbed,"This proposal is for a GPS simulator for the purpose of testing guidance, navigation and control (GNC) algorithms for spacecraft formations. The research objective is to develop and apply state-of-the-art GNC techniques for space systems, resulting in an increase in their capability and cost effectiveness.",Technological development for social purposes,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,Carleton University,Ottawa,"$92,400","$231,104",,Capital,Anton,De Ruiter
26873,Innovation Design Studio and Transformable Manufacturing System,"The iDesign Studio and Transformable iFactory state-of–the-art facilities will be conducive to innovation in the co-design and planning of products, production processes and manufacturing systems and the enabling technologies needed for increasing the competitiveness, agility and flexibility of manufacturing in Ontario and Canada and training of highly qualified personne",Technological development for social purposes,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Windsor,Windsor,"$398,811","$1,004,065",,Capital,Hoda,Elmaraghy
26918,Mass spectrometric instrumentation to enable novel analyses of polar lipids from complex biological samples,"This proposal requests funds to purchase mass spectrometric infrastructure that will enable novel research to study lipid behaviour in human health and disease.  Three separate collaborative projects are described, investigating the lipid dynamics in response to chemotherapy, oxygen deprivation and intracellular calcium ion flux.  This research will elucidate novel lipid biochemistry, leading to a greater understanding of cellular systems and paving the way for novel therapeutic strategies and commercial opportunities.",Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,Carleton University,Ottawa,"$140,000","$529,541",,Capital,Jeff,Smith
26923,Molecular dissection of the invasion machinery required for entry into human red blood cells of the malaria parasite.,"Using state-of-the art molecular techniques, such as reverse genetics and live cell microscopy, the requested infrastructure will enable the researchers to study and decipher the malaria parasite life cycle, by dissecting cell invasion and understanding the proteins that power this process.",Investigation of new sources,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,McMaster University,Hamilton,"$308,099","$770,248",,Capital,Tim,Gilberger
26938,The effect of altering afferent input from the spine and limbs on central sensorimotor integration,Chronic neck and upper limb pain affects millions of Ontarians. The Human Neurophysiology and Rehabilitation Lab at UOIT is investigating changes in the way the brain processes sensory information following postural stress and repetitive activity and how this might contribute to pain becoming chronic.,Advanced health technologies,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,University of Ontario Institute of Technology,Oshawa,"$49,065","$128,384",,Capital,Bernadette,Murphy
27018,Coupling Genetic Characterizations of Pathogens and Disease Vectors Towards Understanding Patterns of Wildlife Disease Maintenance and Spread,"Coupling genetic characterizations of wildlife populations and specific pathogens provides further insight into wildlife disease maintenance and spread. For instance, by predicting the ability of wildlife populations to locally adapt to particular pathogen strains from an increasing array of invasive diseases. Specialized molecular equipment within a new Biosafety Level III laboratory to safety screen for disease strains, and a genome sequencer to characterize particular immune gene types in wildlife, will greatly enhance my ability to perform this research and further refine management efforts of collaborative agencies charged with stemming and eradicating the spread of invasive wildlife diseases.",Investigation of new sources,Small Infrastructure Fund - Round 019 - 2010 - June,20-Sep-10,Ontario Research Fund - Research Infrastructure,Trent University,Peterborough,"$89,728","$225,869",,Capital,Christopher,Kyle
217343,Research Infrastructure for Scientific Computing & Visualization,"The proposed research in scientific computing and visualization will produce new models and algorithms for processing medical images that will help scientists in several fields including surgery, oncology, and biology to understand complex physiological processes.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Waterloo,Waterloo,"$94,295","$236,148",,Capital,Justin,Wan
217783,Multi-applications photonic device laboratory,This infrastructure will consist of new light sources and detection systems that will allow the Advanced Photonic Components group to extend its photonic device research into new areas of application including biochemical sensing for healthy environment and large-frame structural sensing.,Bio-economy and clean technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Carleton University,Ottawa,"$211,414","$534,934",,Capital,Albert,Jacques
219824,Immune cell contributions to the genesis of human hypertension,"This Canada Research Chair will study roles of subsets of Natural Killer and T lymphocytes in promotion of high blood pressure (hypertension). Acutely hypertensive pregnant women before and after treatment, normotensive control pregnant women and mouse models will be studied with the requested equipment.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$50,000","$125,000",,Capital,Anne,Croy
219904,Satellite Model Testing and Control Simulation,"Dr. Kumar’s research is focused on design, dynamics and control of micro- and macro-spacecraft. The research will lead to the development of innovative technologies for low cost, autonomous, robust, and intelligent spacecraft for remote sensing and power generation mission",Development and creation of investigation spots,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Ryerson University,Toronto,"$111,106","$283,538",,Capital,Krishna,Kumar
220084,Polymer Nanomaterial Characterization Facility,"This proposal is to acquire polymer nanomaterial characterization infrastructure for the CRC nominee, Dr. Zhibin Ye, to establish a research program at Laurentian University. The goal of the research is to produce value-added high-performance polymer nanomaterials for use by various industries.",Chemical and biological experimentation for the future,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Laurentian University,Sudbury,"$61,768","$180,590",,Capital,Zhibin,Ye
220144,Laurentian University Modernization of Qualitative Research Laboratory,This proposal is to update technology within an existing qualitative research laboratory at Laurentian University. The laboratory enables practice based and applied research by facilitating the observation and video-recording of practitioners’ and participants’ actual discou,Technological development for social purposes,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Laurentian University,Sudbury,"$23,408","$58,521",,Capital,Robert,Schinke
220224,Enhanced infrastructure for Canada Research Chair in Applied Evolutionary Ecology,"The infrastructure for the Canada Research Chair in Applied Evolutionary Ecology will provide computational resources for data analysis and archiving, enhanced genetics and physiology laboratory resources, and high quality microscopy for sperm analysis.",Technological development for social purposes,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Laurentian University,Sudbury,"$62,381","$157,348",,Capital,Albrecht,Schulte-Hostedde
220404,High-throughput preparation and storage systems,"These funds will support high-throughput research in evolutionary genetics to understand the Mechanisms of Genome Evolution, the Genetics of Adaptation, and the Genetics of Speciation. The supported infrastructure will enable rapid, bulk sample and media preparation for analysis and storage.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$45,400","$113,500",,Capital,Asher,Cutter
220984,Advanced Learning Technologies for Classrooms and Knowledge Communities,"A rich platform of cutting-edge technologies will be built for collaborative, inquiry-based learning and instruction, developed within a wider community of learning scientists, where scholars from different institutions jointly develop shared technology frameworks and curriculum activities.",Technological development for social purposes,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$219,400","$548,500",,Capital,James,Slotta
221024,Behavioural and Neural Correlates of Perceiving People,"My work examines our perceptions of others and how those perceptions influence our thoughts and behaviours. I focus on the accurate judgment of others from their nonverbal behaviour and appearance, showing that first impressions have important consequences for the mind, brain, and society.",Social and cultural investigation and development,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$100,000","$250,000",,Capital,Nicholas,Rule
222084,Imaging of Bone Structure Using Micro-Computed Tomography,"Dietary strategies that reduce the risk of debilitating fractures during aging will be developed. Micro-computed tomography identifies critical information about bone structure. It can also identify how diet during infancy and childhood promotes development of strong, healthy bones by adulthood.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Brock University,St.Catharines,"$115,000","$287,500",,Capital,Wendy,Ward
25816,Computational Geophysics Laboratory at Western,"The Computational Geophysics Laboratory (CGL) will provide infrastructure to facilitate the computational study and modelling of a spectrum of geophysical phenomena, providing research opportunities in resource exploration, and in the forecast and mitigation of natural hazards.",Development and creation of investigation spots,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,The University of Western Ontario,London,"$139,946","$349,866",,Capital,Robert,Shcherbakov
26147,Pathogenic Bacteria Membrane Protein Purification and Crystallization Facility,"Using structural biology approaches, Dr. Moraes elucidates the three dimensional visualization of membrane proteins at atomic resolution. These snapshots of the membrane proteins, coupled with biochemical characterization, will provide an understanding of how these proteins function to aid in bacterial pathogenesis and virulence. Dr. Moraes’ research will determine how these bacterial membrane proteins function, which lays the groundwork for designing novel antimicrobials, therapeutics and/or vaccines use against bacterial pathogen",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$74,390","$178,578",,Capital,Trevor,Moraes
26202,Renewable Bioactives from cereal byproducts and fruit leftovers/wastes,"Investigate the potential of peptides and oligosaccharides from grain and fruit processing by-products for the production of value-added ingredients that prevent and contribute to the management of inflammation and oxidative stress and therefore, improving intestinal and cardiovascular health.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Carleton University,Ottawa,"$148,378","$373,440",,Capital,Apollinaire,Tsopmo
26503,The Protein Engineering and Computational Protein Design Laboratory,The proposed research focuses on the development of useful proteins for their application in chemistry and biology using state-of-the-art protein engineering and computational protein design techniques.,Chemical and biological experimentation for the future,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$239,945","$599,862",,Capital,Roberto,Chica
26758,State-of-the-Art Measurement Systems to Transform the Health and Well-Being of Urban Neighbourhoods,"The research will document how urban neighbourhoods shape residents’ health and well-being. Combining the study of video data on neighbourhood characteristics in a virtual 3D environment with surveys, insights will be gained to reduce social inequalities and improve population healt",Social and cultural investigation and development,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,McMaster University,Hamilton,"$207,423","$518,534",,Capital,James,Dunn
26759,Brain Metal Imaging Laboratory,"This research will develop imaging methods to accurately detect trace metals, including iron and manganese, in normal and diseased brains.  This will lead to a better understanding of the role of metals in serious neurological disorders and suggest effective treatments for patients.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,McMaster University,Hamilton,"$120,000","$342,176",,Capital,Nicholas,Bock
26973,Local Indicators Database for Economic Analysis (Local IDEAs),This project will construct an information database by assembling key statistical indicators at the city-region level in Canada. It will include a research tool to analyze the extensive set of indicators in the database to address key questions about the social and economic performance of city-regions.,Technological development for social purposes,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$160,000","$400,000",,Capital,David,Wolfe
26988,Lentiviral-mediated RNAi technology and high-content screening to systematically analyze programmed cell death in cancer cells,The research seeks to identify new specific targets for the treatment of cancer and to improve the therapeutic impact of current treatments.  By using Lentiviruses to shut off genes we will identify the genes required for cells to respond to or evade current chemotherapy drugs.,Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,McMaster University,Hamilton,"$200,000","$500,000",,Capital,David,Andrews
27195,Laboratory for Architecture Intelligence Research (LAIR),"LAIR will explore the wide-ranging opportunities that embedded computation and responsive systems bring to the field of architecture, landscape and urban design. The laboratory activities will focus on the design, fabrication, and testing of full-scale working prototypes of high performance building systems and responsive environments.",Development and creation of investigation spots,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$100,000","$270,517",,Capital,Carol,Moukheiber
27235,Laboratory for Neural Circuits and Cognitive Control,"The applicants will establish a novel laboratory that employs multiple-electrode neurophysiology in nonhuman primates to study local and large- scale neural circuits that underlie the cognitive control of behaviour, and understand how alterations in these circuits lead to cognitive dysfunctions in psychiatric disorders.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,The University of Western Ontario,London,"$318,272","$795,680",,Capital,Stefan,Everling
27270,Molecular Characterization of Proteins Critical to Xenobiotic Disposition and Cancer: Enhanced Detection and Quantitation,"The design of more effective, targeted cancer therapies will rely on a molecular-level understanding of how cellular proteins interact with and metabolize carcinogens and therapeutic agents.  Enhanced mass spectrometry methods for proteomics-based research are critical tools in these investigations.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$400,000","$1,000,000",,Capital,Susan,Cole
27275,Targeting receptor-receptor interaction for development of novel therapeutics to treat neuropsychiatric diseases,"Dr. Liu is responsible for the discovery of key protein peptides that specifically target brain pathways involved in certain illnesses. She will identify and validate small molecules that exert the same effect as these peptides, enabling new treatments for stroke, nicotine addiction, schizophrenia and depression.",Advanced health technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Centre for Addiction and Mental Health,Toronto,"$258,111","$694,837",,Capital,Fang,Liu
27300,Applied Biotechnology Laboratory,"The project seeks funding for an advanced applied biotechnology lab for the biochemical production of fuels and chemicals from renewable, non-food resources. It will enable micro-scale screening in oxygen-free environments, followed by process characterisation at bench-scale and scale-up to pilot scale.",Bio-economy and clean technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,The University of Western Ontario,London,"$299,474","$748,685",,Capital,Lars,Rehmann
27305,Advanced Microstructure Characterization Lab,"The aim of the proposed research is to test nuclear materials through the investigation of irradiation induced microstructures and correlate structure factors with mechanical degradation of nuclear materials, which will further our understanding of irradiation and  lead to the development and design of future nuclear materials.",Chemical and biological experimentation for the future,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$125,000","$312,500",,Capital,Zhongwen,Yao
27330,Research Facility for Global Change Molecular Physiology of Trees,"The research facility for Global Change Molecular Plant Physiology will support Ingo Ensminger’s research on the mechanisms controlling the responses of trees to changing climate - from molecular, to species to ecosystem levels and to answer the question of how trees will respond to climate chang",Bio-economy and clean technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$198,924","$497,334",,Capital,Ingo,Ensminger
27340,Early detection of deterioration mechanisms for civil infrastructure,The proposed research program will develop models that will allow engineers to better determine the effects of complex deterioration mechanisms on Ontario’s aging infrastructure. This research will be supported by the acquisition of two new sensor systems that will provide high quality data to determine the structural response to deterioration. The research will also be enhanced by renovations to lab space that will support precision testing and instrumentation of specimens as well as long-term load testing to determine the effects of sustained loading on structural deterioratio,Development and creation of investigation spots,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Queen's University,Kingston,"$130,000","$325,000",,Capital,Neil,Hoult
27562,Integrated Field- and Laboratory-Based Mapping Facility for Active Faults and Landscape Evolution,Mapping the location and determining how fast faults are moving is crucial both to determining seismic hazard and to understanding the nature of climate-tectonic interactions. An integrated field and laboratory mapping facility to an accurate determination of fault slip rates.,Investigation of new sources,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Toronto,Toronto,"$64,096","$160,240",,Capital,Lindsay,Schoenbohm
27566,Facility for electrochemical engineering of advanced energy conversion systems,"The research program addresses environmentally important issues through combined fundamental and applied research related to the development of nanostructured electrodes for proton-exchange membrane fuel cells, electrochemical promotion of catalysis and Lithium-ion batteries.",Bio-economy and clean technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,University of Ottawa,Ottawa,"$87,249","$218,123",,Capital,Elena,Baranova
27581,Solar Energy Systems Laboratory,"The scope of the proposed infrastructure is aimed at discovering innovative concepts to significantly increase the use of solar energy in buildings, and improve the design and integration of these technologies into conventional building systems and facilitate their installation.",Bio-economy and clean technologies,Small Infrastructure Fund - Round 020 - 2010 - October,04-Mar-11,Ontario Research Fund - Research Infrastructure,Carleton University,Ottawa,"$150,000","$376,789",,Capital,Cynthia,Cruickshank
